,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
146911,"Iván Cuéllar, Iván Cuéllar Sacristán",40,67 ,67 ,2025,146952,187,76,,GK,,110000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
147930,"M. Popa, Marius Viorel Popa",30,64 ,65 ,Unknown,147971,183,80,,GK,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
148442,"Z. Wójcik, Zbigniew Wójcik",37,57 ,63 ,Unknown,148483,183,84,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
152998,"T. Gjørtz, Thomas Gjørtz",24,51 ,64 ,Unknown,153039,181,76,,CB,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156631,"J. Stewart, John Stewart",22,61 ,64 ,Unknown,156672,188,62,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
156853,"D. Pratley, Darren Antony Pratley",39,60 ,60 ,2025,156894,185,76,,CB,,50000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2847,"Dante, Dante Bonfim da Costa Santos",40,79 ,79 ,2025,158625,188,89,79,CB,0,0,25000,€5.9M,310,,,,,,321,,,,,,242,,,,,,343,,,,,,327,,,,,,,240,,,,51,,,,,,1834,379,3,32,52,69,66,81,0
159892,"E. Madrez, Eric Madrez",40,64 ,64 ,2029,159933,185,81,,LB,,0,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159913,"D. Labran, Dilan Labran",40,64 ,64 ,2029,159954,177,75,,CDM,,0,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159921,"G. Hormaza, Gaston Hormaza",32,68 ,68 ,2029,159962,186,81,,CDM,,800000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159924,"E. Bolindos, Eduardo Bolindos",35,74 ,74 ,2028,159965,188,88,,CDM,,1200000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159926,"A. Simprende, Axel Simprende",32,64 ,64 ,2029,159967,180,73,,CB,,400000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159929,"E. Albavera, Edher Albavera",36,66 ,66 ,2029,159970,175,70,,CM,,275000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159938,"F. Baedas, Francisco Baedas",40,62 ,62 ,2029,159979,182,78,,CF,,0,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159947,"G. Fuengos, Gonzalo Fuengos",36,63 ,63 ,2029,159988,181,75,,CAM,,160000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159950,"J. Pardaneos, Juan Pardaneos",24,66 ,66 ,2029,159991,178,72,,RM,,975000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159952,"N. Scatopano, Nery Scatopano",36,66 ,66 ,2029,159993,180,75,,CF,,300000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159954,"W. Santerilone, Waldo Santerilone",32,67 ,67 ,2029,159995,177,73,,CF,,825000,3000,,,60,73,66,51,72,,65,54,71,54,63,,57,78,67,65,68,,78,72,54,74,71,,44,21,57,48,54,70,,31,23,17,,7,11,9,10,21,,,,,,,,,1
159955,"T. Garceson, Thomas Garceson",27,66 ,66 ,2028,159996,183,75,,RW,,925000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159971,"C. Davilo, Christopher Davilo",36,64 ,64 ,2029,160012,192,90,,GK,,60000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159993,"I. Herreras, Italo Herreras",32,63 ,63 ,2029,160034,178,75,,LB,,325000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
159995,"C. Fauño, Christian Fauño",32,64 ,64 ,2029,160036,175,69,,RB,,400000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160025,"D. Aguileda, Daniel Aguileda",32,66 ,66 ,2029,160066,188,88,,CB,,550000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160043,"I. Bosquedo, Ivan Bosquedo",36,64 ,64 ,2029,160084,182,81,,CDM,,110000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160066,"E. Goldeiro, Esteban Goldeiro",24,61 ,61 ,2029,160107,181,75,,RM,,375000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160069,"E. Merraño, Evaristo Merraño",32,65 ,65 ,2029,160110,175,72,,LM,,575000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160071,"A. Safildo, Alvaro Safildo",32,66 ,66 ,2029,160112,182,76,,CAM,,675000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160074,"E. Manjedo, Edson Manjedo",40,63 ,63 ,2029,160115,181,75,,CAM,,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160077,"M. Arrufe, Miguel Arrufe",34,63 ,63 ,2027,160118,178,74,,CAM,,220000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160128,"W. Vendil, Walter Vendil",32,64 ,64 ,2029,160169,185,81,,GK,,300000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160136,"H. Gairamos, Hector Gairamos",32,63 ,63 ,2029,160177,170,67,,RM,,375000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160139,"E. Marcinal, Eryin Marcinal",32,62 ,62 ,2029,160180,185,84,,GK,,200000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160140,"A. Camura, Arturo Camura",32,63 ,63 ,2029,160181,188,86,,GK,,240000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160142,"M. Inostros, Marko Inostros",32,69 ,69 ,2029,160183,183,76,,CDM,,925000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160145,"V. Ermazabales, Victor Ermazabales",32,62 ,62 ,2029,160186,177,69,,LW,,325000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160170,"G. Lozquiz, Gonzalo Lozquiz",36,63 ,63 ,2029,160211,173,67,,CAM,,160000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160179,"O. Tapiano, Orlando Tapiano",32,63 ,63 ,2029,160220,181,75,,CAM,,400000,10000,,,43,58,58,63,55,,66,49,45,57,62,,65,65,72,71,63,,71,66,59,63,63,,55,37,63,65,62,60,,28,32,43,,7,11,7,11,9,,,,,,,,,1
2853,"S. Fletcher, Steven Fletcher",37,63 ,63 ,2025,164769,186,76,63,CF,0,160000,7000,€280K,309,,,,,,250,,,,,,271,,,,,,323,,,,,,288,,,,,,,69,,,,61,,,,,,1571,323,1,46,64,55,61,32,0
2854,"Ł. Fabiański, Łukasz Marek Fabiański",39,77 ,77 ,2025,164835,190,83,79,GK,0,1200000,23000,€3.6M,87,,,,,,116,,,,,,267,,,,,,227,,,,,,153,,,,,,,39,,,,383,,,,,,1272,432,2,78,80,68,78,49,1
420,"K. Benzema, Karim Benzemaكريم بن زيما",36,86 ,86 ,2026,165153,185,81,88,CF,0,23000000,70000,€62.4M,431,,,,,,409,,,,,,390,,,,,,412,,,,,,351,,,,,,,85,,,,41,,,,,,2119,449,5,77,86,83,87,39,1
142458,"Aitor Sanz, Aitor Sanz Martín",39,66,66,2025,142499,181,71,,CDM,,240000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
142921,"E. Bologna, Enrique Alberto Bologna Gómez",42,69 ,69 ,2024,142962,188,89,,GK,,150000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2841,"Santi Cazorla, Santiago Cazorla González",39,76 ,76 ,2025,146562,168,65,76,CM,0,2400000,8000,€3.8M,365,80,73,60,81,72,406,80,81,84,81,80,345,58,55,71,71,88,322,72,62,69,55,75,368,61,62,70,81,85,81,188,65,66,55,42,6,9,5,7,15,2036,414,3,59,74,82,78,63,1
148655,"E. Ruud, Espen Ruud",40,66 ,66 ,2024,148696,182,76,,CM,,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1208,"A. Young, Ashley Simon Young",38,75,75,2025,152908,175,65,74,RB,0,925000,32000,€1.8M,360,,,,,,376,,,,,,347,,,,,,347,,,,,,362,,,,,,,214,,,,72,,,,,,2078,421,2,65,64,75,74,72,1
155839,"C. Molloy, Craig Molloy",22,58 ,67 ,Unknown,155880,170,65,,CF,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159866,"A. Adanuy, Andres Adanuy",36,62 ,62 ,2029,159907,182,77,,GK,,45000,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159893,"A. Jelverado, Agustin Jelverado",40,65 ,65 ,2029,159934,192,79,,CB,,0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159894,"J. Sarnida, Jeff Sarnida",28,62 ,62 ,2029,159935,180,74,,CB,,350000,13000,,,45,17,49,63,25,,18,18,40,48,38,,49,45,43,55,56,,51,53,65,62,48,,70,63,21,24,50,56,,59,75,72,,10,18,12,17,12,,,,,,,,,1
159896,"M. Fierro, Milenko Fierro",40,62 ,62 ,2029,159937,181,80,,CB,,0,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159899,"J. Dorlans, Junior Dorlans",36,65 ,65 ,2029,159940,185,81,,CB,,130000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159928,"J. Cambados, Jimmy Cambados",36,66 ,66 ,2029,159969,172,69,,LM,,275000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159945,"L. Cinterio, Lorenzo Cinterio",22,73 ,73 ,2027,159986,180,76,,RW,,3600000,900,,,67,67,60,77,55,,74,50,44,61,68,,81,80,79,72,71,,63,54,56,63,65,,44,35,77,69,56,69,,37,28,29,,8,9,8,12,15,,,,,,,,,0
159951,"D. Ballega, David Ballega",36,68 ,68 ,2029,159992,187,82,,CF,,400000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159961,"O. Jonia, Osvaldo Jonia",32,64 ,64 ,2029,160002,172,66,,CF,,475000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
159999,"M. Gamonales, Mauricio Gamonales",36,66 ,66 ,2029,160040,176,75,,RB,,190000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160002,"A. Candelo, Anyelo Candelo",32,65 ,65 ,2029,160043,169,71,,RB,,500000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160038,"A. Lutego, Axl Lutego",28,64 ,64 ,2029,160079,175,71,,CDM,,525000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160040,"J. Rozalas, Jordano Rozalas",38,70 ,70 ,2027,160081,176,75,,CDM,,325000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160044,"D. Rueña, Dino Rueña",24,61 ,61 ,2029,160085,176,76,,CDM,,375000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160062,"C. Abridego, Cristian Abridego",32,72 ,72 ,2029,160103,182,77,,CDM,,1600000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160081,"A. Romales, Alexer Romales",36,65 ,65 ,2029,160122,186,80,,RM,,230000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160089,"R. Gaetaños, Rodolfo Gaetaños",28,65 ,65 ,2029,160130,178,78,,CF,,725000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160097,"J. Gustaldo, Juan Carlos Gustaldo",32,73 ,73 ,2029,160138,180,92,,CF,,2500000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160111,"A. Marelos, Ariel Marelos",22,64 ,64 ,2027,160152,175,73,,CAM,,700000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160114,"J. Dastineda, Jesus Dastineda",38,64 ,64 ,2027,160155,191,93,,CB,,100000,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
160121,"F. Barridos, Felipe Barridos",36,65 ,65 ,2029,160162,188,83,,GK,,80000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160124,"E. Elgueta, Evandro Elgueta",36,63 ,63 ,2029,160165,175,75,,CB,,90000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
160127,"I. Crudelo, Israel Crudelo",40,57 ,57 ,2029,160168,186,79,,GK,,20000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
