,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
250724,"B. Cespedes, Boris Adrián Céspedes",29,69 ,69 ,2025,250765,181,72,,CM,,1400000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250725,"K. Imeri, Kastriot Imeri",24,68 ,74 ,2026,250766,178,77,,CAM,,1900000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250745,"B. Jackson, Ben Joseph Jackson",23,64 ,65 ,2027,250786,178,73,,LB,,675000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250766,"H. Dervişoğlu, Halil İbrahim Dervişoğlu",24,67 ,68 ,2025,250807,183,76,,CAM,,1300000,27000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250782,"D. Phillips, Daniel Shaquille Jabari Phillips",23,66 ,74 ,2026,250823,175,76,,CB,,1800000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250784,"R. Longman, Ryan James Longman",23,67 ,73 ,2027,250825,180,80,,CF,,1600000,8000,,,65,65,60,61,59,,68,67,52,57,66,,75,80,75,63,73,,71,77,77,73,67,,67,46,64,58,54,63,,52,54,49,,10,13,10,14,9,,,,,,,,,1
250785,"S. Takarada, Saori Takarada宝田 沙織",24,71,78,2025,250826,168,59,,CF,,20000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250790,"C. Boyce-Clarke, Coniah Chronicles Boyce-Clarke",21,60 ,68 ,2025,250831,183,79,,GK,,475000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250814,"S. Jørgensen, Sebastian Vinther Jørgensen",24,64,70,2027,250855,178,68,,CAM,,1100000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250815,"A. Singh Kiyam, Amarjit Singh Kiyam",23,55 ,57 ,2026,250856,171,62,,CAM,,160000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250855,"Kim Min Duk, Min-duk Kim김민덕",27,66 ,66 ,2025,250896,183,78,,CB,,800000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250856,"M. Bozan, Mustafa Burak Bozan",23,61 ,69 ,2026,250897,190,80,,GK,,625000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250868,"J. Marx, Jan-Hendrik Marx",29,64 ,64 ,2028,250909,171,68,,RB,,525000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250870,"B. Santelli, Benjamin Santelli",32,67 ,67 ,2026,250911,180,77,,CF,,825000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
250891,"J. Grzesik, Jan Grzesik",29,67 ,67 ,2025,250932,178,70,,RM,,1000000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250906,"A. Nollenberger, Alexander Nollenberger",27,69,69,2025,250947,180,72,,RW,,1300000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1800,"C. Richards, Christopher Jeffrey Richards",24,75 ,78 ,2027,250954,188,87,77,CB,4,7000000,52000,€13.8M,247,,,,,,242,,,,,,333,,,,,,281,,,,,,270,,,,,,,230,,,,44,,,,,,1647,363,1,71,27,58,59,76,1
1008,"J. Stanišić, Josip Stanišić",24,77 ,81 ,2029,250955,187,77,78,CB,5,14000000,43000,€0,287,,,,,,286,,,,,,358,,,,,,304,,,,,,289,,,,,,,231,,,,48,,,,,,1803,398,1,78,39,64,67,77,1
24,"J. Zirkzee, Joshua Orobosa Zirkzee",23,77 ,84 ,2029,250961,193,89,81,CAM,8,21500000,78000,€60.8M,351,,,,,,365,,,,,,368,,,,,,385,,,,,,290,,,,,,,59,,,,51,,,,,,1869,398,1,75,78,70,81,24,1
250952,"M. Gyamfi, Maxwell Gyamfi",24,66 ,71 ,2025,250993,189,75,,CB,,1200000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250965,"J. Senior, Joel Toby Senior",25,64 ,66 ,2026,251006,175,70,,RB,,675000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
250970,"Kirian, Kirian Rodríguez Concepción",28,76 ,76 ,2028,251011,178,75,,CM,,7500000,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251038,"M. Szczepański, Miłosz Szczepański",26,63 ,65 ,2025,251079,168,60,,RM,,600000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251063,"T. Keita, Tidiane Keita",27,66,66,2027,251104,179,76,,CM,,750000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251070,"Feng Boyuan, Feng Boyuan冯伯元",29,59 ,59 ,2028,251111,191,85,,CF,,220000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251077,"Elsinho, Elson José Dias Júnior",33,59 ,59 ,2026,251118,192,72,,CB,,110000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251108,"A. Leguizamón, Aníbal Andrés Leguizamón Espínola",32,68 ,68 ,2026,251149,182,83,,CB,,775000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251110,"S. Kavrazlı, Salih Kavrazlı",22,60 ,69 ,2025,251151,172,69,,CF,,550000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251172,"C. Vega, Cristian Orlando Vega",30,70 ,70 ,2025,251213,178,79,,CDM,,1300000,13000,,,56,55,52,70,52,,63,61,55,68,67,,67,68,52,66,69,,69,67,78,71,71,,73,70,57,62,65,71,,67,69,67,,5,10,11,15,14,,,,,,,,,1
251178,"D. Burns, Darragh Burns",21,63 ,72 ,2028,251219,176,72,,LM,,1100000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
251183,"P. Besong, Paul-Philipp Besong",23,64 ,70 ,2025,251224,184,93,,CF,,925000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251194,"A. Dumiter, Ioan Andrei Vasile Dumiter",25,63 ,64 ,2026,251235,184,76,,CF,,575000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251223,"H. Holgate, Harrison James Holgate",24,61 ,66 ,2025,251264,186,70,,CB,,450000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251243,"K. Thompson-Sommers, Kane Thompson-Sommers",23,58 ,65 ,2026,251284,185,73,,CM,,400000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251244,"N. Thiede, Niclas Thiede",25,66 ,72 ,2026,251285,186,85,,GK,,1100000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
251247,"J. Medić, Jakov Medić",25,70 ,74 ,2025,251288,193,91,,CB,,2000000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251254,"J. Rumpf, Jan-Luca Rumpf",24,64 ,71 ,2025,251295,190,85,,CB,,1100000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
251266,"N. Nadj, Niclas Tibor Nadj",23,64 ,70 ,2028,251307,178,69,,CAM,,925000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
