,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
2060,"Neto, Norberto Murara Neto",34,76,76,2025,194404,190,83,78,GK,0,1800000,38000,€8.7M,88,11,15,14,37,12,109,18,12,13,42,23,295,55,50,58,76,48,243,55,68,40,62,20,130,40,15,11,43,22,60,46,17,14,15,382,76,72,73,76,76,1293,436,2,80,71,72,83,54,1
194576,"Chen Po Liang, Po-liang Chen陈柏良",35,60 ,60 ,2024,194617,180,75,,CAM,,100000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194689,"Juan Carlos, Juan Carlos Martín Corral",36,73 ,73 ,2025,194730,186,85,,GK,,350000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
194753,"A. Yarmolenko, Andriy YarmolenkoЯрмоленко Андрій Миколайович",34,75 ,75 ,2025,194794,189,81,,CAM,,2600000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
194805,"F. Hanin, Florent Olivier Sylvain Hanin",34,71,71,2025,194846,177,73,,LB,,575000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
194893,"Dani Jiménez, Daniel Jiménez López",34,70,70,2027,194934,179,72,,GK,,240000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
195046,"R. Petrović, Radosav PetrovićРадосав Петровић",35,68 ,68 ,2025,195087,193,83,,CDM,,350000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
195231,"M. Faraoni, Marco Davide Faraoni",32,72,72,2025,195272,180,71,,RM,,2400000,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
196848,"S. Verdi, Simone Verdi",31,72,72,2025,196889,174,72,,CAM,,2500000,24000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
196894,"Ignasi Miquel, Ignasi Miquel Pons",31,69 ,69 ,2025,196935,188,82,,CB,,950000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
