,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
69919,"H. Cuellar, Héctor Manuel Cuellar Rosales",23,67 ,73 ,2027,69960,180,74,,CM,,1500000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2826,"Isaac, Isaac Romero Bernal",24,73 ,80 ,2025,69967,184,70,73,CF,9,6000000,23000,€9.7M,353,,,,,,323,,,,,,328,,,,,,351,,,,,,243,,,,,,,32,,,,48,,,,,,1678,353,1,68,72,67,69,17,0
69927,"G. Lescano, Gustavo Ángel Lescano",22,60 ,71 ,2025,69968,187,75,,GK,,475000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69928,"J. Zozaya, Juan Pablo Zozaya",22,63 ,71 ,2027,69969,187,82,,GK,,925000,5000,,,10,5,13,18,8,,14,11,10,21,14,,25,28,36,60,35,,44,62,30,77,8,,23,13,4,57,18,41,,7,13,11,,61,59,58,64,68,,,,,,,,,1
69931,"T. Harper, Taiga Oliver Harper",19,52 ,70 ,2025,69972,184,76,,GK,,180000,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69933,"Alexandre Castro, Alexandre Castro de Araújo",21,58 ,66 ,2024,69974,180,75,,GK,,400000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69945,"R. Mitchell, Roald Mitchell",21,50 ,61 ,2026,69986,185,68,,CF,,110000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1381,"S. Mayulu, Senny Mayulu",18,69,83 ,2027,70004,183,69,66,CAM,20,2800000,27000,€3.7M,270,,,,,,330,,,,,,332,,,,,,296,,,,,,281,,,,,,,139,,,,37,,,,,,1685,365,1,73,60,62,69,48,0
69966,"S. Andersen, Silas Andersen",20,60 ,74 ,2026,70007,190,76,,CDM,,550000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69970,"Y. Fofana, Yaya Kader Fofana",20,68 ,79 ,2029,70011,180,68,,CAM,,2600000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69973,"E. Zuliani, Edhy Yvan Zuliani",19,62 ,77 ,2025,70014,175,68,,LM,,950000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69975,"Ricardo Coutinho, Ricardo Coutinho da Silva",18,59 ,71 ,2027,70016,176,65,,RM,,525000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69983,"M. Salamon, Matteo Salamon",20,54 ,69 ,2025,70024,193,86,,GK,,230000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69985,"C. Ashford, Cian Ty Ashford",19,60 ,74 ,2027,70026,179,72,,CF,,600000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
69986,"Pleguezuelo, Xavier Pleguezuelo Selva",21,63 ,74 ,2025,70027,178,70,,LB,,1000000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
69989,"J. Adams, Joe Adams",20,60 ,70 ,2025,70030,178,77,,CAM,,550000,6000,,,50,55,52,59,46,,61,54,49,58,60,,73,72,72,54,69,,58,67,70,67,56,,49,44,57,60,52,55,,45,48,39,,11,10,10,12,12,,,,,,,,,1
70008,"K. Mutandwa, Kingstone Mutandwa",21,63 ,74 ,2028,70049,180,76,,CF,,1100000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
70021,"Liu Pujin, Liu Pujin刘谱锦",35,55 ,55 ,2024,70062,181,70,,CB,,35000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
