,name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Att. Position,Vision,Penalties,Composure,Total defending,Defensive awareness,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace,Pied droit
222151,"Sun Guowen, Sun Guowen孙国文",30,60 ,60 ,2025,222192,182,73,,LB,,210000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222158,"Zheng Kaimu, Zheng Kaimu郑凯木",32,63 ,63 ,2029,222199,186,80,,CB,,300000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222194,"Ren Hang, Ren Hang任航",35,64 ,64 ,2024,222235,183,83,,CB,,150000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222215,"T. Bishop, Edward James Bishop",27,64 ,64 ,2026,222256,178,67,,CAM,,625000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222222,"N. Jackers, Nordin Jackers",26,68 ,68 ,2027,222263,187,72,,GK,,950000,12000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222241,"Zhu Baojie, Zhu Baojie朱宝杰",34,61 ,61 ,2024,222282,170,68,,RM,,150000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222288,"M. Wdowiak, Mateusz Wdowiak",27,66 ,66 ,2026,222329,175,67,,LM,,900000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222305,"Shi Ke, Shi Ke石柯",31,67 ,67 ,2026,222346,182,81,,CB,,700000,15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222320,"W. Randall, William George James Randall-Hurren",26,62 ,62 ,2025,222361,175,65,,LM,,425000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222327,"A. Miranchuk, Anton MiranchukМиранчук Антон Андреевич",28,74 ,74 ,2026,222368,185,79,,CAM,,4200000,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
425,"L. Chávez, Luis Gerardo Chávez Magallón",28,79 ,79 ,Unknown,222382,178,73,79,CM,0,0,0,€0,331,,,,,,398,,,,,,383,,,,,,386,,,,,,362,,,,,,,221,,,,52,,,,,,2133,453,1,83,72,80,78,71,0
1673,"Unai López, Unai López Cabrera",28,78,78,2026,222390,170,68,76,CM,1,7500000,24000,€9.4M,332,,,,,,380,,,,,,387,,,,,,350,,,,,,339,,,,,,,198,,,,62,,,,,,2048,428,1,70,70,77,76,67,1
222359,"H. Winks, Harry Billy Winks",28,74,73,2026,222400,176,65,,CDM,,4900000,46000,,,66,54,52,77,53,,74,72,68,76,75,,65,50,76,75,76,,69,62,74,60,67,,79,74,67,74,56,78,,71,71,67,,8,11,14,13,10,,,,,,,,,1
222387,"J. Komar, Juan Cruz Komar",27,71 ,73 ,2025,222428,190,82,,CB,,2000000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1170,"T. Castagne, Timothy Castagne",28,76 ,76 ,2027,222501,185,80,76,RB,0,7000000,66000,€13.3M,316,,,,,,311,,,,,,353,,,,,,336,,,,,,341,,,,,,,220,,,,63,,,,,,1940,417,1,73,57,70,73,73,1
222462,"H. Isted, Harvey James Duke Isted",27,63 ,64 ,2026,222503,186,74,,GK,,400000,5000,,,16,14,18,24,17,,16,13,14,22,19,,35,36,34,58,41,,47,43,25,37,19,,18,11,9,24,31,38,,12,14,18,,63,62,63,61,63,,,,,,,,,1
2697,"L. Gooch, Lynden Jack Gooch",28,68 ,68 ,2025,222528,173,75,66,RB,0,1100000,28000,€1.6M,289,,,,,,301,,,,,,386,,,,,,347,,,,,,313,,,,,,,180,,,,59,,,,,,1875,401,1,81,60,61,65,58,1
222503,"E. Koulouris, Efthymios KoulourisΕυθύμιος Κουλούρης",28,70 ,70 ,2026,222544,186,82,,CF,,1600000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222505,"L. Zingerle, Leopold Zingerle",30,69 ,69 ,2026,222546,185,78,,GK,,925000,19000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222516,"J. Glad, Justen Thomas Glad",27,69 ,70 ,2026,222557,183,72,,CB,,1400000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1340,"R. Karsdorp, Rick Karsdorp",29,76,76,2025,222558,184,80,77,RB,0,9500000,16000,€17.9M,347,,,,,,359,,,,,,375,,,,,,388,,,,,,355,,,,,,,221,,,,65,,,,,,2110,449,2,81,63,74,77,74,1
222532,"A. Tello, Andrés Felipe Tello Muñoz",27,66 ,66 ,2029,222573,180,80,,CF,,900000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222535,"Pleguezuelo, Julio José Pleguezuelo Selva",27,68 ,70 ,2025,222576,180,70,,CB,,1300000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222542,"T. James, Thomas Lynn James",28,65 ,65 ,2026,222583,175,75,,RB,,650000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222557,"Nélson Monte, Nélson Macedo Monte",28,72 ,72 ,2026,222598,187,78,,CB,,2000000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222598,"R. Ramírez, Roberto Fabián Ramírez",27,70 ,73 ,2025,222639,187,73,,GK,,1600000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222651,"B. Schmitz, Benno Schmitz",29,69 ,69 ,2027,222692,182,75,,RB,,1200000,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222757,"Jeong Woo Jae, Woo-jae Jeong정우재 郑宇宰",32,61 ,61 ,2029,222798,179,70,,LB,,230000,5000,,,60,55,55,58,46,,64,55,50,57,61,,70,69,69,58,73,,64,68,68,69,64,,61,57,59,59,45,57,,58,55,53,,12,6,15,11,13,,,,,,,,,1
222791,"João Teixeira, João Rafael de Brito Teixeira",30,70,70,2025,222832,178,66,,CAM,,1800000,10000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222835,"J. Smith, Jordan Smith",29,63,62 ,2026,222876,183,75,,GK,,275000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
222837,"T. Walker, Tyler Walker",27,63 ,63 ,2025,222878,184,78,,CF,,525000,8000,,,56,63,60,58,60,,62,58,45,43,63,,72,73,75,61,70,,65,69,55,59,61,,51,31,65,59,66,62,,39,34,18,,7,13,15,12,8,,,,,,,,,1
222859,"W. Hahn, Warner Lloyd Hahn",32,75,75,2027,222900,190,88,,GK,,1200000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222867,"S. Madejski, Sebastian Madejski",27,61 ,64 ,2026,222908,189,78,,GK,,325000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222875,"J. Ginnelly, Joshua Lloyd Ginnelly",27,70 ,70 ,2026,222916,173,65,,RW,,1700000,23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222938,"L. Smith, Liam Smith",28,59 ,59 ,2025,222979,179,68,,RB,,200000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
222953,"M. Nakamba, Marvelous Nakamba",30,73 ,73 ,2026,222994,178,71,,CDM,,2500000,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
223028,"O. Sowunmi, Omar Kolawole Olufemi Sowunmi",28,61 ,61 ,2026,223069,199,93,,CB,,275000,7000,,,32,39,62,44,25,,35,28,28,35,39,,43,62,34,59,32,,43,65,67,91,22,,60,61,50,33,36,52,,60,59,57,,10,16,11,9,7,,,,,,,,,1
223032,"J. Muldoon, Jonathan Jack Lyndan Muldoon",35,61 ,61 ,2025,223073,178,69,,CF,,140000,6000,,,50,59,58,55,56,,60,53,49,49,60,,75,71,73,61,71,,62,70,83,61,59,,46,15,60,52,63,58,,20,22,16,,8,10,7,7,12,,,,,,,,,1
223097,"A. Briançon, Anthony Briançon",29,70 ,70 ,2026,223138,185,79,,CB,,1300000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223109,"L. Mpasi, Lionel M'Pasi N'Zau",29,68 ,69 ,2025,223150,182,78,,GK,,925000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223133,"O. Piri, Onurcan Piri",29,64 ,65 ,2026,223174,190,82,,GK,,450000,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223134,"O. Kocuk, Okan Kocuk",28,75,75,2026,223175,188,78,,GK,,2200000,8000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223183,"M. Jakoliš, Marin Jakoliš",27,68,68,2025,223224,182,77,,LM,,1100000,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
223189,"B. Mitrea, Bogdan Alexandru Mitrea",36,64 ,64 ,2025,223230,185,79,,CB,,100000,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
223261,"Samu, Fábio Samuel Amorim da Silva",28,73,73,2027,223302,170,66,,CAM,,4200000,14000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
